Automaton A,Automaton B,Checked,Processed,Satisfiable,Unsatisfiable,Skipped,Lasso Automaton A,Lasso Automaton B,Product Optimized,Product Basic,Product Final States,Sum of A and B States,Spared state space,Generated states of LAs + OA
4,2,1,1,0,1,0,4,2,0,2,0,6,2,6
5,4,5,3,3,0,0,5,5,3,3,1,9,0,13
6,4,5,3,3,0,0,6,5,3,3,1,10,0,14
20,5,1,1,0,1,0,6,5,0,4,0,25,4,11
3582,3572,1,1,0,0,0,2,12,0,4,0,7154,4,14
3,3,5,4,2,2,1,5,5,3,7,1,6,4,13
802,566,45,7,7,0,1,36,30,8,8,1,1368,0,74
3582,3458,59,7,7,0,1,52,59,8,8,1,7040,0,119
1932,1663,43,9,9,0,2,82,67,11,11,1,3595,0,160
6074,1932,39,9,9,0,2,112,80,11,11,1,8006,0,203
1932,1663,46,9,9,0,2,80,67,11,11,1,3595,0,158
53,22,17,4,4,0,8,20,40,12,12,1,75,0,72
53,3,17,7,6,1,6,50,5,12,14,1,56,2,67
9,9,1,1,0,0,0,3,3,0,21,0,18,21,6
2872,16,25,19,5,14,0,92,17,5,21,1,2888,16,114
2872,17,26,19,5,14,0,92,17,5,21,1,2889,16,114
9,8,29,19,6,13,0,8,12,6,22,1,17,16,26
9,8,32,19,10,9,3,14,12,13,31,1,17,18,39
9,8,1,1,0,0,0,3,4,0,37,0,17,37,7
1323,22,14,12,6,6,1,98,46,7,38,1,1345,31,151
1672,1534,41,23,7,16,1,81,56,8,93,1,3206,85,145
1672,1534,45,27,8,19,1,86,59,9,93,1,3206,84,154
148,9,1,1,0,0,0,7,3,0,119,0,157,119,10
1323,92,21,17,6,11,1,98,64,7,188,1,1415,181,169
2872,53,257,244,70,174,13,187,90,83,258,0,2925,175,360
2872,66,279,259,74,185,13,241,106,87,275,1,2938,188,434
2872,58,274,263,69,194,11,214,95,80,288,0,2930,208,389
1323,10,50,24,18,6,5,99,16,23,713,1,1333,690,138
6074,1932,65,34,13,21,1,216,166,14,1727,1,8006,1713,396
1323,871,24,17,8,9,0,99,70,8,1986,1,2194,1978,177
1323,1323,1323,27,12,7,5,3,95,95,3352,1,2646,3257,193
1341,1323,27,12,7,5,3,122,95,10,3372,1,2664,3362,227
1323,1318,24,17,9,8,0,99,86,9,3378,1,2641,3369,194
1557,1323,34,21,12,9,0,134,99,12,3668,1,2880,3656,245
1564,1323,38,23,14,9,0,160,99,12,3743,1,2887,3731,271
1932,1663,28,12,8,4,2,114,99,10,3794,1,3595,3784,223
1323,1083,88,87,24,63,1,315,343,25,4348,0,2406,4323,683
1932,1663,36,17,9,8,1,109,96,10,4676,1,3595,4666,215
1932,1663,36,17,9,8,1,109,96,10,4676,1,3595,4666,215
1323,1323,1,1,0,0,0,15,15,0,5525,0,2646,5525,30
1323,1323,90,90,25,65,0,603,309,25,5525,0,2646,5500,937
1932,1663,27,18,7,11,0,133,111,7,7232,1,3595,7225,251
1672,1534,44,26,8,18,0,82,104,8,7407,1,3206,7399,194
1932,1663,1,1,0,0,0,13,11,0,7722,0,3595,7722,24
1932,1663,25,26,6,20,0,207,175,6,7722,0,3595,7716,388
1932,1663,32,33,7,26,0,251,176,7,7722,0,3595,7715,434
1672,1534,543,549,157,392,18,1196,571,171,10889,0,3206,10718,1938
1672,1534,90,90,30,60,5,209,119,34,10889,0,3206,10855,362
6074,1663,35,17,9,8,1,149,96,10,14331,1,7737,14321,255
6074,1663,30,31,7,24,0,319,176,7,20894,0,7737,20887,502
3582,3572,26,19,5,14,0,106,106,5,25162,1,7154,25157,217
3582,3458,26,19,5,14,0,106,106,5,26798,1,7040,26793,217
6074,1932,31,22,6,16,0,182,135,6,44086,1,8006,44080,323
6074,1932,32,33,7,26,0,283,251,7,45502,0,8006,45495,541